"class" "test" "dei_paschi" "mont_dei" "danish" "dei" "dutch" "nordlb" "rescu" "brexit" "denmark" "fine" "deposit" "nordea" "estonia" "incom" "swedish" "foreign" "tax" "prosecutor" "suspici" "combin" "ing" "offer" "control" "mont" "show" "paschi" "industri" "member" "save" "inform" "branch" "restructur" "baltic" "ratio" "analyst" "banca" "pai" "commiss" "target" "sector" "term" "privat" "economi" "region" "tuesdai" "econom" "larg" "mondai" "start" "person" "fridai" "custom" "involv" "face" "estonian" "servic" "system" "stake" "recent" "continu" "fail" "offici" "minist" "result" "account" "net" "discuss" "sell" "declin_comment" "intern" "decis" "nation" "supervisori" "debt" "top" "unicredit" "familiar" "crisi" "rais" "set" "increas" "requir" "work" "credit" "sale" "wednesdai" "global" "thursdai" "quarter" "ag" "europ" "loss" "move" "issu" "ceo" "ad" "statement" "bad" "job" "close" "sew" "hold" "interest" "revenu" "head" "chief_execut" "meet" "client" "back" "reuter" "week" "dansk_bank" "firm" "transact" "largest" "alleg" "base" "potenti" "offic" "union" "call" "biggest" "scandal" "rule" "equiti" "sharehold" "sourc" "invest_bank" "group" "rate" "part" "told" "declin" "talk" "case" "matter" "bond" "oper" "board" "end" "million_euro" "germani" "month" "compani" "unit" "expect" "make" "profit" "chief" "cut" "time" "financ" "comment" "itali" "central_bank" "includ" "italian" "regul" "investig" "swedbank" "cost" "ecb" "carig" "trade" "author" "countri" "central" "german" "risk" "state" "peopl" "asset" "share" "execut" "investor" "merger" "fund" "invest" "deal" "manag" "commerzbank" "eu" "loan" "dansk" "govern" "monei_launder" "busi" "billion_euro" "million" "plan" "market" "launder" "report" "capit" "percent" "monei" "european" "financi" "lender" "billion" "deutsch_bank" "year" "euro" "deutsch" "bank"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.60745199019993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22901555447968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37748331068348 0 0 0 0 0 0 0 0 0 2.29833463702808 0 0 0 3.90101571660789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03961611171716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.8927987459831 0 0 0 0 0 1.98687550247482 0 0 0 0 0 0 0 0 0 0 0 1.61173412469445 0 0 0 0 0 2.10063438783148 1.69027276426466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.37877011784903 1.49267476467846 0 5.07882185467755 0 0 0 0 0 0 0 1.45969686587222 0 0 0 0 0 0 0 1.79405568148841 0 0 0 0 0 0 0 0 0 0 0 0 0 1.49413355414212 0 0 0 0 0 0 0 0 1.3166900558016 9.05609825340411 0 0 1.15142429106536 0 0.988283793123251 0 5.22299078952263 0 0 2.75576083240352 0 6.81097420353378 0 0.77256208185018 5.9929015119794 0 0.266579584382976
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.25679511858676 0 4.49489851233704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92885459065471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96559810402753 1.87188409375603 0 0 0 0 0 1.82202953353081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10063438783148 0 0 0 0 0 0 0 0 0 3.24825171397923 0 2.99557973069047 0 0 0 1.67441340102455 0 0 0 1.69294061822585 0 0 3.04152469297745 0 0 0 0 0 1.73662363240253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.20244820536352 0 0 0 0 1.49413355414212 0 1.32775347534586 0 0 0 0 0 0 1.3166900558016 3.88118496574462 0 1.21782983898736 0 0 0 1.0940356216407 3.91724309214197 0 0 0.918586944134505 0 2.91898894437162 0 3.8628104092509 3.42451514970251 0 0.266579584382976
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.43256541189349 0 0 0 0 0 0 0 0 0 0 0 0 0 2.18874165534174 0 2.02710030378533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.99286713214308 0 0 0 0 0 0 0 0 0 2.01843151884888 0 1.85394165991289 0 0 2.01966532529781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 1.80694629131948 0 0 3.66237980585895 0 0 0 1.74222066193925 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.77454286726482 0 0 0 1.43669132008011 0 0 0 0 0 0 0 1.52076234648872 0 0 0 5.76610901404609 0 0 0 0 0 0 0 0 0 0 1.40681808713951 5.40101769854677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.35659559997514 0 0 0 0 0 0 0 0 0 0 0 0.916126918293643 0 0 0 0 0.77256208185018 0 0 0.799738753148927
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.45139836022658 0 0 0 0 0 0 0 0 0 0 2.31810463842909 4.63953983549629 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10063438783148 0 0 0 0 0 0 0 0 0 6.56622496602523 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95050785830394 0 2.04213818114987 0 6.59708490015605 3.70788331982578 2.77652832024386 0 4.03933065059562 0 1.87188409375603 0 0 0 10.7854216773553 0 1.82202953353081 0 0 0 0 0 0 0 0 0 0 0 2.03584489417408 0 0 0 1.80694629131948 0 0 0 0 0 2.00983723636155 1.74222066193925 0 0 0 2.01351145972343 0 0 0 1.66138672962454 0 0 0 0 0 0 0 0 0 0 0 0 0 1.50958071675654 0 0 0 0 0 0 0 0 2.99557973069047 0 0 1.43669132008011 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 1.45969686587222 0 1.59706393494666 0 0 0 0 0 0 0 1.40681808713951 0 0 0 0 0 0 0 0 0 0 1.41555176710826 0 1.45057079340784 3.98326042603757 0 0 4.71924591078051 0 0 0 1.3166900558016 2.58745664382974 0 0 0 0 0 0 1.30574769738066 0 0 0.918586944134505 0 1.94599262958108 0 0 2.56838636227689 0 0.622019030226943
0 0 0 0 0 0 0 0 0 0 0 7.72398650213081 0 0 0 0 0 10.2900557553546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.11845741651389 0 0 0 0 0 0 4.05420060757065 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92885459065471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95976718371674 0 0 0 0 0 0 4.3141686709421 0 0 2.03208784529637 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 1.86023758836971 0 0 0 0 0 0 3.97375100494964 0 0 0 0 0 2.0926343451644 0 0 0 1.75256396054605 0 0 0 0 0 0 0 0 0 7.81588026412965 0 3.04753070349699 0 0 1.90876462926437 1.56756797440689 0 0 0 0 0 0 1.43669132008011 5.02324020307365 0 0 0 0 0 1.77938549174061 0 0 0 0 0 0 0 1.59706393494666 7.35761400586746 0 0 0 0 1.79405568148841 0 0 0 0 0 0 1.77261236473477 0 0 1.27772798056843 0 0 0 0 0 0 0 7.42414360606403 0 0 0 0 1.3166900558016 0 0 0 0 0 0.988283793123251 0 1.30574769738066 0 1.83225383658729 0.918586944134505 0 0 0 2.31768624555054 0 0 0.266579584382976
0 0 0 0 2.8530683973662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22445973794382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01843151884888 1.94591014905531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.90101571660789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05484483241898 4.02702291944686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.45969686587222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.77261236473477 0 0 0 0 0 0 0 0 0 0 0 0 6.03318143431287 0 3.27840303879012 0 0 0 0 0 3.21200689997093 0 0 0 2.5910440887378 0 0 0.740791212798755 0 0 0 0 0 0.177719722921984
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95050785830394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.94361919730876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.62412585698961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70098715247706 0 0 1.45057079340784 0 0 0 0 0 0 0 0 0 0 1.21782983898736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.177719722921984
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.4298079607997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.26939371042308 4.45803110895937 0 0 0 2.24744925616852 0 0 0 0 2.22143401702728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.93111192795636 0 0 1.92885459065471 0 9.19333854811233 0 2.05101585518188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.82202953353081 0 0 6.11884833515147 0 0 0 0 0 0 0 0 0 0 0 0 1.80694629131948 3.72047517673941 2.17855974919662 0 0 1.82507367591204 0 0 1.98687550247482 0 0 0 0 0 0 0 0 0 0 0 1.61173412469445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.62412585698961 0 0 5.41784635500707 0 2.87338264016021 0 0 2.98534952935692 0 6.7717624729034 0 0 0 1.56756797440689 0 6.82555082262826 0 0 0 0 0 0 1.59706393494666 0 0 1.79405568148841 0 1.40681808713951 0 0 0 1.491218100182 0 1.48686079481304 0 0 0 0 1.41555176710826 0 0 1.32775347534586 0 0 0 0 1.35659559997514 0 0 0 4.44756717964333 0 1.15142429106536 0 0 1.0940356216407 3.91724309214197 0 0 0 0.740791212798755 0 0 1.54512416370036 3.42451514970251 0 0.533159168765952
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.21490398039986 0 0 13.1838318893435 0 0 0 0 0 0 0 0 0 0 0 2.43256541189349 0 0 0 0 2.26939371042308 2.22901555447968 0 0 0 11.2372462808426 0 0 0 0 0 0 0 2.02337590469434 0 0 0 0 0 0 1.94591014905531 0 0 0 0 0 0 0 0 0 0 2.10331535458473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.80211916577992 0 0 2.15708433547105 0 0 0 0 12.2376966703029 0 3.93822609226995 1.91987585468944 0 0 0 0 0 0 0 1.83631549077829 0 0 0 10.8927987459831 0 0 0 0 0 3.97375100494964 0 0 0 0 0 0 0 0 0 0 0 1.61173412469445 0 0 7.76533392811161 0 0 10.5031719391574 3.38054552852931 1.95397006603241 0 0 1.52904240884934 0 1.90876462926437 0 1.95976718371674 0 0 2.99557973069047 1.80594878500236 0 2.87338264016021 1.67441340102455 0 0 0 6.7717624729034 0 0 0 0 0 0 1.44152725351152 0 0 0 0 0 3.19412786989331 0 0 7.17622272595362 1.56364793802681 0 1.35025442463669 0 0 0 0 0 2.80163213690902 0 0 0 2.83110353421652 7.47066777071061 0 1.32775347534586 0 0 4.71924591078051 0 0 0 0 6.46864160957436 1.48252239321444 0 3.45427287319608 0 1.9765675862465 1.0940356216407 27.4207016449938 0 0.916126918293643 0 1.48158242559751 4.8649815739527 1.29313112870513 10.8158691459025 5.9929015119794 3.79289136522196 0.622019030226943
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.82235597059978 0 2.57251393883865 0 0 0 0 0 0 0 0 2.22294573311261 0 0 0 0 0 0 0 0 0 2.22901555447968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.56622496602523 0 0 0 0 0 2.16991416220377 0 3.85770918130943 0 2.29833463702808 0 2.05101585518188 0 1.95050785830394 0 0 0 2.19902830005202 1.85394165991289 0 0 0 0 1.87188409375603 0 0 0 2.15708433547105 0 0 2.03208784529637 1.80694629131948 8.15846444686863 0 1.96911304613498 0 0 1.905455194363 0 0 1.70638770565706 2.03584489417408 0 0 0 0 1.86023758836971 6.53567924758987 0 1.58021636437405 0 0 1.74222066193925 0 0 0 2.01351145972343 0 0 0 1.66138672962454 0 1.72552268584308 0 0 1.61173412469445 0 0 3.8826669640558 0 0 4.20126877566295 1.69027276426466 3.90794013206483 0 0 1.52904240884934 0 0 0 1.95976718371674 0 0 0 1.80594878500236 0 1.43669132008011 0 1.68938505892452 2.98534952935692 0 1.69294061822585 1.37392038363245 0 0 3.13513594881377 0 0 0 1.45969686587222 0 0 0 0 1.59706393494666 0 0 7.17622272595362 0 0 0 0 1.40347918587399 0 0 0 0 1.27772798056843 1.43325134420766 0 0 2.98826710828424 1.45057079340784 2.65550695069171 0 0 1.57308197026017 0 0 0 1.3166900558016 0 1.48252239321444 0 0 0 0 0 5.22299078952263 0 0 0.918586944134505 0 0 0 1.54512416370036 0.856128787425629 0 0.533159168765952
